signal,lag,pacf
Group4-2_S6_MassFlowRate,31,-0.002527374640415965
Group4-2_S6_MassFlowRate,32,-0.15581628093603603
Group4-2_S6_MassFlowRate,33,-0.005107275940780241
Group4-2_S6_MassFlowRate,34,0.025356464478985628
Group4-2_S6_MassFlowRate,35,0.02726377786602068
Group4-2_S6_MassFlowRate,36,-0.039180928689367504
Group4-2_S6_MassFlowRate,37,-0.10644092243509456
Group4-2_S6_MassFlowRate,38,0.01552825752921739
Group4-2_S6_MassFlowRate,39,0.263655249343303
Group4-2_S6_MassFlowRate,40,-0.13098562433627348
Group4-2_S6_FlowVelocity,0,1.0
Group4-2_S6_FlowVelocity,1,-0.16677924786650333
Group4-2_S6_FlowVelocity,2,-0.2528450141096399
Group4-2_S6_FlowVelocity,3,-0.275286240272835
Group4-2_S6_FlowVelocity,4,0.4760302217899406
Group4-2_S6_FlowVelocity,5,-0.05897393680117951
Group4-2_S6_FlowVelocity,6,-0.02083398407751414
Group4-2_S6_FlowVelocity,7,-0.10764394829174945
Group4-2_S6_FlowVelocity,8,0.2355347107833439
Group4-2_S6_FlowVelocity,9,-0.08938911102670337
Group4-2_S6_FlowVelocity,10,0.24473635275438288
Group4-2_S6_FlowVelocity,11,-0.03369949811312284
Group4-2_S6_FlowVelocity,12,0.29850588355888713
Group4-2_S6_FlowVelocity,13,-0.06752611187337343
Group4-2_S6_FlowVelocity,14,-0.21963431141555298
Group4-2_S6_FlowVelocity,15,0.06365428459903198
Group4-2_S6_FlowVelocity,16,0.09799367847773101
Group4-2_S6_FlowVelocity,17,-0.0008381235155298822
Group4-2_S6_FlowVelocity,18,-0.1671456073064595
Group4-2_S6_FlowVelocity,19,0.014581588725090144
Group4-2_S6_FlowVelocity,20,0.417652024135715
Group4-2_S6_FlowVelocity,21,0.061854585437693
Group4-2_S6_FlowVelocity,22,-0.016126250492379708
Group4-2_S6_FlowVelocity,23,-0.03782658441640734
Group4-2_S6_FlowVelocity,24,-0.12621196447784683
Group4-2_S6_FlowVelocity,25,-0.046186081707377015
Group4-2_S6_FlowVelocity,26,-0.016738911814051682
Group4-2_S6_FlowVelocity,27,0.04095371657657475
Group4-2_S6_FlowVelocity,28,-0.20743388318886957
Group4-2_S6_FlowVelocity,29,-0.017310559868892208
Group4-2_S6_FlowVelocity,30,-0.1517351918754419
Group4-2_S6_FlowVelocity,31,-0.002806844075324871
Group4-2_S6_FlowVelocity,32,-0.15591902801304877
Group4-2_S6_FlowVelocity,33,-0.004860982466038134
Group4-2_S6_FlowVelocity,34,0.025338334081079147
Group4-2_S6_FlowVelocity,35,0.026456400666466633
Group4-2_S6_FlowVelocity,36,-0.03883466221667559
Group4-2_S6_FlowVelocity,37,-0.10675846480639088
Group4-2_S6_FlowVelocity,38,0.016546731586237793
Group4-2_S6_FlowVelocity,39,0.2649956773011537
Group4-2_S6_FlowVelocity,40,-0.1316263586614416
Group4-2_S6_Volume,0,1.0
Group4-2_S6_Volume,1,0.9994330747233926
Group4-2_S6_Volume,2,-0.0007426653973692619
Group4-2_S6_Volume,3,-0.0009343287035262033
Group4-2_S6_Volume,4,-0.0005858300786083666
Group4-2_S6_Volume,5,-0.000704068052114037
Group4-2_S6_Volume,6,-0.0008992763281068562
Group4-2_S6_Volume,7,-0.0003703465034877127
Group4-2_S6_Volume,8,-0.0002761887072479904
Group4-2_S6_Volume,9,-0.0006701351730768094
Group4-2_S6_Volume,10,-0.0005852623757865052
Group4-2_S6_Volume,11,-0.0006164094060079049
Group4-2_S6_Volume,12,-0.0006018480186300699
Group4-2_S6_Volume,13,-0.0006742978810499586
Group4-2_S6_Volume,14,-0.000853211887493855
Group4-2_S6_Volume,15,-0.0005224851899506813
Group4-2_S6_Volume,16,-0.00019355408855032094
Group4-2_S6_Volume,17,0.0005404777683639627
Group4-2_S6_Volume,18,-0.0006962488609414119
Group4-2_S6_Volume,19,-0.0009486655998634029
Group4-2_S6_Volume,20,-8.563037398739051e-05
Group4-2_S6_Volume,21,-0.0007158163634977689
Group4-2_S6_Volume,22,-0.00101423841072446
Group4-2_S6_Volume,23,-0.0009417168651188037
Group4-2_S6_Volume,24,-0.00048345408759331663
Group4-2_S6_Volume,25,-0.0006984498169560714
Group4-2_S6_Volume,26,-0.001028044234838433
Group4-2_S6_Volume,27,-0.00036106158224241214
Group4-2_S6_Volume,28,-0.00048788808623950617
Group4-2_S6_Volume,29,-0.0006444037893199503
Group4-2_S6_Volume,30,-0.00028346237044879713
Group4-2_S6_Volume,31,-0.0006047951345280445
Group4-2_S6_Volume,32,-0.0003376680542022691
Group4-2_S6_Volume,33,-0.0007988620029088021
Group4-2_S6_Volume,34,-0.0008532952514939992
Group4-2_S6_Volume,35,-0.00022367807990395395
Group4-2_S6_Volume,36,7.954283015949593e-05
Group4-2_S6_Volume,37,0.0001152026793109246
Group4-2_S6_Volume,38,-0.0008259648563979727
Group4-2_S6_Volume,39,-0.0009599005401959884
Group4-2_S6_Volume,40,0.00025815071981772757
Group4-2_S6_Temperature,0,1.0
Group4-2_S6_Temperature,1,-0.07839466824404347
Group4-2_S6_Temperature,2,-0.3423806000553931
Group4-2_S6_Temperature,3,-0.15561903012165812
Group4-2_S6_Temperature,4,0.5128182456990892
Group4-2_S6_Temperature,5,-0.011796029548084291
Group4-2_S6_Temperature,6,0.03494874224943556
Group4-2_S6_Temperature,7,-0.03486502575913935
Group4-2_S6_Temperature,8,0.2595977212348412
Group4-2_S6_Temperature,9,-0.03152451912700581
Group4-2_S6_Temperature,10,0.14476211483572662
Group4-2_S6_Temperature,11,0.051419960690230526
Group4-2_S6_Temperature,12,0.33345063243343304
Group4-2_S6_Temperature,13,-0.09286333806701044
Group4-2_S6_Temperature,14,-0.13582763070169204
Group4-2_S6_Temperature,15,0.10179450767526328
Group4-2_S6_Temperature,16,0.18069880518925044
Group4-2_S6_Temperature,17,-0.03895347549842337
Group4-2_S6_Temperature,18,-0.1395447891371969
Group4-2_S6_Temperature,19,0.07926914243395908
Group4-2_S6_Temperature,20,0.6235612789881222
Group4-2_S6_Temperature,21,0.13271167655769997
Group4-2_S6_Temperature,22,0.0031363426489311847
Group4-2_S6_Temperature,23,0.01554834722229411
Group4-2_S6_Temperature,24,-0.046031522584766074
Group4-2_S6_Temperature,25,-0.038378654809425004
Group4-2_S6_Temperature,26,-0.06251670182861588
Group4-2_S6_Temperature,27,0.12626473430180776
Group4-2_S6_Temperature,28,-0.15049777799492753
Group4-2_S6_Temperature,29,-0.004871386003055844
Group4-2_S6_Temperature,30,0.0006780722071617156
Group4-2_S6_Temperature,31,0.00962738640138509
Group4-2_S6_Temperature,32,-0.16387709347908774
Group4-2_S6_Temperature,33,0.05387444828068342
Group4-2_S6_Temperature,34,0.015779184942961468
Group4-2_S6_Temperature,35,-0.02514735675268468
Group4-2_S6_Temperature,36,-0.04211437379301352
Group4-2_S6_Temperature,37,-0.03627866143859181
Group4-2_S6_Temperature,38,-0.06462021531870288
Group4-2_S6_Temperature,39,0.30905378453652005
Group4-2_S6_Temperature,40,-0.0034532936108711333
Group4-2_S6_Pressure,0,1.0
Group4-2_S6_Pressure,1,-0.14160535369248323
Group4-2_S6_Pressure,2,-0.16942139280200494
Group4-2_S6_Pressure,3,-0.14919684732511507
Group4-2_S6_Pressure,4,0.5058936030391378
Group4-2_S6_Pressure,5,-0.01319020296862223
Group4-2_S6_Pressure,6,0.048734334337175035
Group4-2_S6_Pressure,7,-0.12715169900174442
Group4-2_S6_Pressure,8,0.2602694402159294
Group4-2_S6_Pressure,9,-0.0099387991326582
Group4-2_S6_Pressure,10,0.1973417998559005
Group4-2_S6_Pressure,11,-0.03653864688839126
Group4-2_S6_Pressure,12,0.27842982589381526
Group4-2_S6_Pressure,13,-0.08130443305385895
Group4-2_S6_Pressure,14,-0.1716358261495171
Group4-2_S6_Pressure,15,0.03243628408823443
Group4-2_S6_Pressure,16,0.06421586277649322
Group4-2_S6_Pressure,17,0.04667598783428324
Group4-2_S6_Pressure,18,-0.11078912850181176
Group4-2_S6_Pressure,19,-0.01885838137203394
Group4-2_S6_Pressure,20,0.2989479498700369
Group4-2_S6_Pressure,21,0.05444624826355295
Group4-2_S6_Pressure,22,-0.06264169959367787
Group4-2_S6_Pressure,23,-0.050670295567460374
Group4-2_S6_Pressure,24,-0.10215183253178385
Group4-2_S6_Pressure,25,-0.05781255256846394
Group4-2_S6_Pressure,26,-0.03567104781954761
Group4-2_S6_Pressure,27,0.058563782772305076
Group4-2_S6_Pressure,28,-0.15302738156150675
Group4-2_S6_Pressure,29,-0.0396515620560076
Group4-2_S6_Pressure,30,-0.046465053123866444
Group4-2_S6_Pressure,31,-0.007769576274521045
Group4-2_S6_Pressure,32,-0.08741071366793357
Group4-2_S6_Pressure,33,0.030783747201429578
Group4-2_S6_Pressure,34,0.007950148692029979
Group4-2_S6_Pressure,35,0.025697794377380234
Group4-2_S6_Pressure,36,0.010571749285450578
Group4-2_S6_Pressure,37,-0.08998719949309007
Group4-2_S6_Pressure,38,-0.020966384726234924
Group4-2_S6_Pressure,39,0.13892346215086826
Group4-2_S6_Pressure,40,-0.0430987696437637
